source_path	destination_path	sha256	purpose	copyright_owner	license_or_authority	reviewer
Package.resolved	LegacyParity/Package.resolved	60a327b6ce183ff8e32e919d530de9d16cdc541f54f9940900dff7a72c56eb2a	package-metadata	kthree0213	Original author and sole copyright holder; authorized for Apache-2.0	kthree0213
Package.swift	LegacyParity/Package.swift	01204a4b6708acc61236090d36624acfd70694ba56d0ccda1376e07fad760d84	package-metadata	kthree0213	Original author and sole copyright holder; authorized for Apache-2.0	kthree0213
Packaging/FlowType.entitlements	LegacyParity/Packaging/FlowType.entitlements	289696af9834a7ee41aca4c1cd3aa95fc38f9ae2e83655b1d4b86c1ccab771ee	parity-configuration	kthree0213	Original author and sole copyright holder; authorized for Apache-2.0	kthree0213
Packaging/Info.plist	LegacyParity/Packaging/Info.plist	09bc688f56336638040af2688bc5fbca713c5e73d645316aa81ae90107d75cfe	parity-configuration	kthree0213	Original author and sole copyright holder; authorized for Apache-2.0	kthree0213
Scripts/package-dmg.sh	LegacyParity/Scripts/package-dmg.sh	66fc43c719b3e98b66f596c1cbd4e44de4e2d2851d3d831b0c45692be189fb60	parity-tooling	kthree0213	Original author and sole copyright holder; authorized for Apache-2.0	kthree0213
Sources/FlowType/AppLocalization.swift	LegacyParity/Sources/FlowType/AppLocalization.swift	c9c14f55b878aa1a54d7ac400cc2e867640b11d0d37f1425928b20aece940015	parity-source	kthree0213	Original author and sole copyright holder; authorized for Apache-2.0	kthree0213
Sources/FlowType/Core/Constants.swift	LegacyParity/Sources/FlowType/Core/Constants.swift	50f67da23a919a023dba31a98165e1dda34ca78e04a486334257844facd5b9ee	parity-source	kthree0213	Original author and sole copyright holder; authorized for Apache-2.0	kthree0213
Sources/FlowType/Core/FlowCoordinator.swift	LegacyParity/Sources/FlowType/Core/FlowCoordinator.swift	d3dc37aab1b34fe7b97ccc184744cde566ffb65925a44d8a22e1aafe6112c088	parity-source	kthree0213	Original author and sole copyright holder; authorized for Apache-2.0	kthree0213
Sources/FlowType/Core/HotkeyManager.swift	LegacyParity/Sources/FlowType/Core/HotkeyManager.swift	3f68aad74627efefd6cdcceb69e0efaeb52f409c8aa4c6704be6948d51bef8a4	parity-source	kthree0213	Original author and sole copyright holder; authorized for Apache-2.0	kthree0213
Sources/FlowType/Core/LLMProcessor.swift	LegacyParity/Sources/FlowType/Core/LLMProcessor.swift	40fcdf54f3c920bd1870ac3bc2ef42c228aa5f1306f1557dc16b1d140c6e3f1b	parity-source	kthree0213	Original author and sole copyright holder; authorized for Apache-2.0	kthree0213
Sources/FlowType/Core/LLMProviderCatalog.swift	LegacyParity/Sources/FlowType/Core/LLMProviderCatalog.swift	8457e0318ce07c8b5d0008c675527bdd88909c108428d5f8c29a86b5a193341d	parity-source	kthree0213	Original author and sole copyright holder; authorized for Apache-2.0	kthree0213
Sources/FlowType/Core/LLMProviderProfiles.swift	LegacyParity/Sources/FlowType/Core/LLMProviderProfiles.swift	6a6b32186bb53514f394e0ded6cae4feec02f8d67119a40e511629275e9b8553	parity-source	kthree0213	Original author and sole copyright holder; authorized for Apache-2.0	kthree0213
Sources/FlowType/Core/MicrophoneRecorder.swift	LegacyParity/Sources/FlowType/Core/MicrophoneRecorder.swift	f21902ec9a1edbbfde748aaccece87e65b3a774bbbfc00b90aefb438d40fd8be	parity-source	kthree0213	Original author and sole copyright holder; authorized for Apache-2.0	kthree0213
Sources/FlowType/Core/OpenRouterConfig.swift	LegacyParity/Sources/FlowType/Core/OpenRouterConfig.swift	4fd0952606376cdb6278f031fabbed113aea6ae02f866e1db9fc520a4cda8783	parity-source	kthree0213	Original author and sole copyright holder; authorized for Apache-2.0	kthree0213
Sources/FlowType/Core/OutputModesStorage.swift	LegacyParity/Sources/FlowType/Core/OutputModesStorage.swift	df8d03d1281933e8ef0a80aa9204c2179e1595ffee6d6ce6f213aabcccd8165f	parity-source	kthree0213	Original author and sole copyright holder; authorized for Apache-2.0	kthree0213
Sources/FlowType/Core/Progress+WhisperDownload.swift	LegacyParity/Sources/FlowType/Core/Progress+WhisperDownload.swift	2f4fbdad81e0f14d734d9e6a6062c5fa74ae4b489d525519e81efd6c5a917f62	parity-source	kthree0213	Original author and sole copyright holder; authorized for Apache-2.0	kthree0213
Sources/FlowType/Core/SpeechTranscriptionSettings.swift	LegacyParity/Sources/FlowType/Core/SpeechTranscriptionSettings.swift	1363245bef689ad78bf89a3258f8e877ed54d9ef0e168343bc56fa31863315c4	parity-source	kthree0213	Original author and sole copyright holder; authorized for Apache-2.0	kthree0213
Sources/FlowType/Core/TextInjector.swift	LegacyParity/Sources/FlowType/Core/TextInjector.swift	d8358cd1710b66fc90bfb460bc48c292e94cf5f0ebbaafff8fb38a21f588087f	parity-source	kthree0213	Original author and sole copyright holder; authorized for Apache-2.0	kthree0213
Sources/FlowType/Core/WhisperTranscriptionLanguageCatalog.swift	LegacyParity/Sources/FlowType/Core/WhisperTranscriptionLanguageCatalog.swift	957cfc8d88c00b038fb36c9160ef0636b6e7738c8e75f47778e21ed9b896ad1a	parity-source	kthree0213	Original author and sole copyright holder; authorized for Apache-2.0	kthree0213
Sources/FlowType/FlowTypeApp.swift	LegacyParity/Sources/FlowType/FlowTypeApp.swift	752e60fef016f492a96befb82f5366872344e8bf331b2ff4f6eac97a5987861b	parity-source	kthree0213	Original author and sole copyright holder; authorized for Apache-2.0	kthree0213
Sources/FlowType/FlowTypeResourceBundle.swift	LegacyParity/Sources/FlowType/FlowTypeResourceBundle.swift	2e24071e369b6f07bdd98b4222fea5dededc860e7ddc9ad970ef6dd99a71be03	parity-source	kthree0213	Original author and sole copyright holder; authorized for Apache-2.0	kthree0213
Sources/FlowType/Info.plist	LegacyParity/Sources/FlowType/Info.plist	0d8c36877d3dd285745c06c4209ac2a040c961082935aa5d91704906f2df87c5	parity-configuration	kthree0213	Original author and sole copyright holder; authorized for Apache-2.0	kthree0213
Sources/FlowType/MenuBarRootView.swift	LegacyParity/Sources/FlowType/MenuBarRootView.swift	d9fc552c0cbf752a11dfbb2f62ee07a56a5082e9beed97a93b661429a71ee63c	parity-source	kthree0213	Original author and sole copyright holder; authorized for Apache-2.0	kthree0213
Sources/FlowType/OnboardingPreferences.swift	LegacyParity/Sources/FlowType/OnboardingPreferences.swift	1f9b5cf7ebe54d59829f40a35315bebae853bdc499130fc16f1b0ddb419aeab6	parity-source	kthree0213	Original author and sole copyright holder; authorized for Apache-2.0	kthree0213
Sources/FlowType/OnboardingView.swift	LegacyParity/Sources/FlowType/OnboardingView.swift	eae8ac1b0bc475fc5422c70537b5e05ba7d7210fd51151d8ccd37b0ffa4eca3d	parity-source	kthree0213	Original author and sole copyright holder; authorized for Apache-2.0	kthree0213
Sources/FlowType/OnboardingWindowController.swift	LegacyParity/Sources/FlowType/OnboardingWindowController.swift	ceba561a1b9c101b4b45d574ea9711b30462a9f23f89af9bc3bec8b8d9e6e795	parity-source	kthree0213	Original author and sole copyright holder; authorized for Apache-2.0	kthree0213
